Track name,Artist name,Album,Playlist name,Type,ISRC,Qobuz - id
"Cornbread","Lee Morgan","Cornbread","Favorites Albums","Album","5099995836850","sxpz5a6171hwa"
"Volume 1","Miles Davis","Volume 1","Favorites Albums","Album","0060253749829","0060253749829"
"Horace Silver And The Jazz Messengers","Horace Silver","Horace Silver And The Jazz Messengers","Favorites Albums","Album","0060253747152","0060253747152"
"Tutu","Miles Davis","Tutu","Favorites Albums","Album","0603497936120","0603497936120"
"Solitude","Billie Holiday","Solitude","Favorites Albums","Album","0602567833383","rciekf0l9vznc"
"Point of Departure","Andrew Hill","Point of Departure","Favorites Albums","Album","0060254714885","0060254714885"
"LUPIN THE THIRD JAZZ ー Bossa & Fusion","YUJI OHNO & FRIENDS","LUPIN THE THIRD JAZZ ー Bossa & Fusion","Favorites Albums","Album","4988021847643","zuiufqfxdp0wa"
"Creuza de ma","Fabrizio De Andrè","Creuza de ma","Favorites Albums","Album","0886444411578","0886444411578"
"Volume 3","Fabrizio De Andrè","Volume 3","Favorites Albums","Album","0743219745828","0743219745828"
"Volume 1","Fabrizio De Andrè","Volume 1","Favorites Albums","Album","0743219745729","0743219745729"
"Canzoni","Fabrizio De Andrè","Canzoni","Favorites Albums","Album","0743219741523","0743219741523"
"Non Al Denaro, Non All'Amore, Ne Al Cielo","Fabrizio De Andrè","Non Al Denaro, Non All'Amore, Ne Al Cielo","Favorites Albums","Album","0743219744425","0743219744425"
"Storia Di Un Impiegato","Fabrizio De Andrè","Storia Di Un Impiegato","Favorites Albums","Album","0743219742421","0743219742421"
"La Buona Novella","Fabrizio De Andrè","La Buona Novella","Favorites Albums","Album","0743219744524","0743219744524"
"Tutti Morimmo A Stento","Fabrizio De Andrè","Tutti Morimmo A Stento","Favorites Albums","Album","0743219745620","0743219745620"
"Gentle Giant","Gentle Giant","Gentle Giant","Favorites Albums","Album","0004228426242","0004228426242"
"Mezzanine","Massive Attack","Mezzanine","Favorites Albums","Album","0724384559953","0724384559953"
